artists,album_name,track_name,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,duration_min,duration_category,popularity_category
Gen Hoshino,Comedy,Comedy,73.0,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,acoustic,3.8444333333333334,Media,Alta
Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55.0,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,acoustic,2.4935,Corta,Media
Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57.0,False,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,acoustic,3.5137666666666667,Media,Media
Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71.0,False,0.266,0.0596,0,-17.493499999999997,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,acoustic,3.36555,Media,Alta
Chord Overstreet,Hold On,Hold On,82.0,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,acoustic,3.314216666666667,Media,Muy alta
Tyrone Wells,Days I Will Remember,Days I Will Remember,58.0,False,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,acoustic,3.570666666666667,Media,Media
A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74.0,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,acoustic,3.8233333333333333,Media,Alta
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80.0,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,acoustic,4.0491,Larga,Alta
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74.0,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,acoustic,3.1602166666666665,Media,Alta
Ross Copperman,Hunger,Hunger,56.0,False,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,acoustic,3.4265666666666665,Media,Media
Zack Tabudlo,Episode,Give Me Your Forever,74.0,False,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,acoustic,4.08,Larga,Alta
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69.0,False,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,acoustic,4.00275,Larga,Alta
Dan Berk,Solo,Solo,52.0,False,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,acoustic,3.3118666666666665,Media,Media
Anna Hamilton,Bad Liar,Bad Liar,62.0,False,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,acoustic,4.1408,Larga,Alta
Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56.0,False,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,acoustic,3.13555,Media,Media
Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58.0,False,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,acoustic,4.0831,Larga,Media
Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56.0,False,0.706,0.112,2,-17.493499999999997,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,acoustic,2.1625,Corta,Media
Andrew Foy;Renee Foy,At My Worst,At My Worst,54.0,False,0.795,0.0841,10,-17.493499999999997,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,acoustic,2.8288,Media,Media
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68.0,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,acoustic,3.1602166666666665,Media,Alta
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67.0,False,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,acoustic,4.336433333333333,Larga,Alta
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75.0,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,acoustic,4.0491,Larga,Alta
Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63.0,False,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,acoustic,2.9029,Media,Alta
